Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
"Av. Sta. Margarita 4950, Jardín Real, 45138 Zapopan, Jal.",22200,3,2,95,Fraccionamiento Valle Esmeralda,Zapopan,House
Av. Cruz del sur,25000,3,3,165,Fraccionamiento Valle Imperial,Zapopan,House
Av. Casa Fuerte,33000,3,3,500,Ciudad Bugambilia,Zapopan,House
PASEO SAN ARTURO 1020,16300,3,2,148,Jardines Del Sur,Guadalajara,House
Fray Junípero Serra,16000,3,2,140,Casa Fuerte,Tlajomulco de Zúñiga,House
"Av. inglaterra 7645 , Virreyes Residencial, Zapopan",69000,5,4,600,Valle Real,Zapopan,House
Florencia 2830,120000,3,3,551,Valle Real,Zapopan,House
Enrique Limón Diaz 404 208,8500,3,3,99,Fraccionamiento Parques de Tesistán,Zapopan,House
antiguo camino a tesistan 8875,60000,4,4,615,San Agustín,Tlajomulco de Zúñiga,House
RINCONADA LOS LAURELES 243,87000,5,2,430,Virreyes Residencial,Zapopan,House
Bosques de la Cascada 36,17000,3,2,107,Fraccionamiento Jardines de Guadalupe,Zapopan,House
Santa Adriana 2337,49500,6,5,258,Providencia,Guadalajara,House
liertad 104 ,19900,5,3,119,San Agustín,Tlajomulco de Zúñiga,House
,11000,3,3,90,Nuevo México,Zapopan,House
,54000,3,2,283,Villa Universitaria,Zapopan,House
,14500,3,2,120,San Isidro,Zapopan,House
,28000,3,2,190,Las Cañadas,Zapopan,House
,11500,2,1,75,Hogares de Nuevo México,Zapopan,House
,11000,1,,80,El Vigía,Zapopan,House
Boulevar Puerta de Hierro,65000,3,4,296,Villa Universitaria,Zapopan,House
TURQUESA 3358 4A,69000,4,5,700,Puerta de Hierro,Zapopan,House
"Calle Borneo 1982, Col. Jardines de La Cruz",25000,3,2,150,Fraccionamiento Residencial Victoria,Guadalajara,House
Tenochtitlán 4504,15000,4,2,120,Fraccionamiento Jardines de La Cruz,Guadalajara,House
"Paseo del Cielo 1, El Palomar, 45640 Jal.",24000,3,5,164,Jardines Del Sol,Zapopan,House
VALLE DE MEXICO 85,55000,3,4,594,Cielo Contry Club,Tlajomulco de Zúñiga,House
Paseo de los valles,22000,2,2,92,Mezquitan,Guadalajara,House
lorenzo barcelata 66,25000,3,3,300,El Palomar,Tlajomulco de Zúñiga,House
"Coto Livorno, Av. Paseo del Bosque 3428, Natura Bosque, Residencial ",70000,4,5,412,Valle Real,Zapopan,House
Otranto 3876,20000,3,2,227,Santa Ana Tepetitlán,Zapopan,House
Coto 3 Circuito de Los Laureles  346,17800,3,2,166,Fraccionamiento Valle Imperial,Zapopan,House
Av de la Campiña 5261,14000,3,4,83,Natura Bosque Residencial,Zapopan,House
Av. Las Palmas 200,45000,4,2,300,Condominio Atlas Colomos,Zapopan,House
,10500,3,3,160,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
,60000,3,1,300,Providencia,Guadalajara,House
,35000,3,2,300,Rancho o rancheria San Jose Del Tajo,Tlajomulco de Zúñiga,House
,13000,1,4,219,El Fortín,Zapopan,House
,49900,3,2,400,Cielo Contry Club,Tlajomulco de Zúñiga,House
,9000,2,5,105,La Venta del Astillero,Zapopan,House
,80000,5,,509,Villa Coral,Zapopan,House
Circunvalación División del Norte 2009,35000,3,1,160,Fraccionamiento Jardines Del Country,Guadalajara,House
Av. Quintas del Bosque 220,16500,3,2,105,Bosques de San Isidro,Zapopan,House
Av Acueducto 1060,25000,8,3,174,Guadalajara Centro,Guadalajara,House
vereda del ganso Puerta de hierro,12000,3,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
Calle Alameda,14500,3,2,120,Girasoles Elite,Zapopan,House
Blvrd. Bosques de Santa Anita,80000,3,3,744,Puerta de Hierro,Zapopan,House
Paseo L,20000,7,4,172,Barrio El Retiro,Guadalajara,House
PUERTO CALLAO 2457,12000,3,3,105,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
MAGNOLIAS  1378 ,79800,5,5,800,Jardines de Guadalupe,Guadalajara,House
Diego Aranda y Carpintero 1507,131000,4,4,1000,Lomas del Valle,Zapopan,House
Bosques de la Cascada 36,25000,4,2,250,Paseos del Sol,Zapopan,House
"Coto Livorno, Av. Paseo del Bosque 3428, Natura Bosque, Residencial ",12000,3,2,108,Santa Ana Tepetitlán,Zapopan,House
Laureles 181,50000,8,7,360,Providencia,Guadalajara,House
Paseo solares 2175,150000,4,3,850,Fraccionamiento Colomos Providencia,Guadalajara,House
,11000,3,2,140,Girasoles Acueducto,Zapopan,House
,21000,4,3,300,Fraccionamiento Jardines Del Country,Guadalajara,House
,28000,3,2,190,Las Cañadas,Zapopan,House
,14000,3,1,83,Natura Bosque Residencial,Zapopan,House
,12200,3,2,97,Zapopan Centro,Zapopan,House
,30000,3,,298,Bosques Vallarta,Zapopan,House
Paseo de la alianza,48000,4,4,550,Fraccionamiento Valle Imperial,Zapopan,House
Colomos Providencia,24500,4,3,150,San Agustín,Tlajomulco de Zúñiga,House
lomas de santa anita,130000,3,4,423,Fraccionamiento Colomos Providencia,Guadalajara,House
Av. Cruz del sur,30000,3,3,564,Lomas de Santa Anita,Tlajomulco de Zúñiga,House
ADAMAR   NUMERO    548   COTO   ALAMEDA  INTERIOR  151 .,16300,3,2,148,Jardines Del Sur,Guadalajara,House
AV. NOVELISTAS 5646,10500,3,2,107,Adamar,Tlajomulco de Zúñiga,House
la merced 925,20500,3,3,130,Fraccionamiento Jardines Vallarta,Zapopan,House
CALLE VIGIA DOS #102,58000,5,4,478,Los Pinos,Zapopan,House
Euclides #3233,40000,4,4,198,Chapalita,Guadalajara,House
Paseo San Antonio   2641,7000,4,3,80,Fraccionamiento Parques de Tesistán,Zapopan,House
LACANDONES 484,25000,4,3,220,Vallarta Poniente,Guadalajara,House
AV NUEVA GALICIA #50,45500,3,4,300,Valle Real,Zapopan,House
Av General Ramon Corona 456,48000,6,3,301,Monraz,Guadalajara,House
RINCONADA LOS LAURELES 243,15000,3,2,123,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
Av. Punto Sur,13500,3,2,120,Alta California Residencial,Tlajomulco de Zúñiga,House
CALLEJON DEL ARCO 4315,45000,1,3,364,Fraccionamiento Arauca,Zapopan,House
SAN CARLOS 3138 ,14500,3,2,120,San Isidro,Zapopan,House
,28500,3,4,140,Punto Sur,Tlajomulco de Zúñiga,House
,45200,3,4,300,Villa Universitaria,Zapopan,House
,55000,3,4,300,Valle Real,Zapopan,House
AV. CAMINO DE LOS PARQUES 3363 MD INT 2 ,14000,3,3,154,San Isidro,Zapopan,House
Paseo del trento 510,21000,4,4,319,Casa Fuerte,Tlajomulco de Zúñiga,House
Av Reno Poniente 3725,14500,3,3,90,El Fortín,Zapopan,House
CALLEJON DEL LOBO ,38000,4,4,300,Ciudad Bugambilia,Zapopan,House
Paseo del Anochecer  964 47,61000,4,7,1350,Fraccionamiento Bugambilias,Zapopan,House
"EL ZAPOTE 1910, EL TIGRE, ZAPOPAN ",28000,5,5,152,Fraccionamiento Solares,Zapopan,House
av d 575,13500,3,2,95,El Tigre,Zapopan,House
Provincia de Alicante 12,17800,3,2,166,Fraccionamiento Valle Imperial,Zapopan,House
Av. Juan Palomar y Arias 370,18800,3,3,99,Guadalupe 2a Sección,Zapopan,House
Ramón corona 1500,79000,5,5,615,Chapalita Oriente,Zapopan,House
Av. Universidad 2662,55000,4,4,333,Royal Country,Zapopan,House
Alamos 15,80000,4,4,400,Fraccionamiento Arauca,Zapopan,House
Santa Anita 601,160000,4,6,453,Fraccionamiento Puerta Las Lomas,Zapopan,House
Calzada de las flores 1364,43000,3,3,474,Puertas Del Tule,Zapopan,House
circuito de la mandarina 9,45000,3,3,1410,El Palomar,Tlajomulco de Zúñiga,House
,60000,4,4,912,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
,13000,2,1,65,Fraccionamiento Residencial Moctezuma,Zapopan,House
,18200,4,3,125,Fraccionamiento Real de Valdepeñas,Zapopan,House
,18000,3,2,160,Fraccionamiento Valle Imperial,Zapopan,House
,7000,1,,101,Alameda,Tlajomulco de Zúñiga,House
Pico de Orizaba 124,9800,3,3,80,Fraccionamiento Real Del Bosque,Zapopan,House
Fray Juan de Zumárraga 758,11000,2,2,90,Independencia,Guadalajara,House
Av Lopez Mateos Sur 5555,12000,3,2,85,Villas de Zapopan,Zapopan,House
Av Punto Sur 6387 14,29900,4,3,202,Chapalita,Guadalajara,House
Camino a las Moras 600,7500,2,1,125,Vista Sur Residencial,Tlajomulco de Zúñiga,House
AV VOLCAN TANCITARO 2236,38000,3,4,305,Residencial Provenza,Tlajomulco de Zúñiga,House
Paseo del amanecer  405,30000,4,3,150,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
De los Reyes 1425,13500,3,2,120,San Agustín,Tlajomulco de Zúñiga,House
PASEO SAN ARTURO 1020,18500,3,3,135,Volcán Del Colli,Zapopan,House
Avenida Universidad 2662,32000,4,4,143,Santillana,Zapopan,House
PUERTA DE HIERRO CNDOMINIO GALICIA ,13000,1,2,219,El Fortín,Zapopan,House
Buenos Aires  2066,8000,3,1,81,La Moraleja,Zapopan,House
Escorza 309,120000,3,4,551,Valle Real,Zapopan,House
Valle de Juárez  176,165000,5,6,386,Fraccionamiento Puerta Las Lomas,Zapopan,House
,42000,3,2,261,El Bajío,Zapopan,House
,125000,5,5,1019,Puerta de Hierro,Zapopan,House
,49900,4,4,282,Providencia,Guadalajara,House
,40000,4,2,400,Americana,Guadalajara,House
,35000,3,4,355,El Palomar,Tlajomulco de Zúñiga,House
,150000,6,6,620,Cielo Contry Club,Tlajomulco de Zúñiga,House
AV. LA CIMA COTO A ,42000,3,3,200,Lomas del Valle,Zapopan,House
Zapote del Valle,19500,3,2,160,Fraccionamiento La Cima,Zapopan,House
Santa Adriana 2337,5800,3,2,60,Fraccionamiento Los Molinos,Zapopan,House
Tenochtitlán 4504,17000,3,2,120,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
"Félix mendelssohn 5508  , La Estancia , 45030 Zapopan, Jalisco, México",30000,3,4,253,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
Av. Vista Pte. 972,15000,1,2,253,El Zapote Del Valle,Tlajomulco de Zúñiga,House
Av. Experiencia,10500,3,2,160,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
"Av Paseo del Alva 1192, coto 1",11500,2,2,75,Hogares de Nuevo México,Zapopan,House
Turmalina,24000,3,5,164,Jardines Del Sol,Zapopan,House
Nueva Galicia,16000,3,2,160,Casa Fuerte,Tlajomulco de Zúñiga,House
Avenida del Bosque Real 1507 COTO AVELLANO VALLE IMPERIAL ZAPOPAN JALISCO,25000,2,4,200,La Estancia,Zapopan,House
Turmalina,9000,3,2,75,Vista Sur Residencial,Tlajomulco de Zúñiga,House
Coto Antara,17000,3,3,173,Fraccionamiento Jardines Alcalde,Guadalajara,House
william shakespeare,15500,3,2,97,Fraccionamiento Valle Imperial,Zapopan,House
,60000,3,2,250,Fraccionamiento Residencial Victoria,Guadalajara,House
,15000,3,2,123,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
,28000,3,5,142,Fraccionamiento Valle Imperial,Zapopan,House
,42000,3,2,250,Fraccionamiento Residencial Victoria,Guadalajara,House
,29000,3,4,153,Fraccionamiento Solares,Zapopan,House
,80000,5,4,200,Jardines Universidad,Zapopan,House
Av. Universidad,150000,4,4,345,Fraccionamiento Puerta Las Lomas,Zapopan,House
Casa en Renta en Ciudad del sol,90000,8,6,800,Ciudad Del Sol,Zapopan,House
"Condominio Hacienda Nápoles, Fraccionamiento Hacienda Santa Cruz",6500,3,1,70,Hacienda Santa Cruz,Tlajomulco de Zúñiga,House
Av. Paseo de los Robles Nte. 243,36350,3,3,252,Los Robles,Zapopan,House
"Castilla de la Mancha #70, condominio Escorial, Real de Valdepeñas, Zapopan",17000,3,2,115,Fraccionamiento Real de Valdepeñas,Zapopan,House
TOMAS BALCAZAR 5601A,18000,3,3,112,Paseos del Sol,Zapopan,House
San Ernesto 3636,29980,4,3,199,Chapalita,Guadalajara,House
Adolfo lopez mateos sur 5555,32000,4,4,260,San Agustín,Tlajomulco de Zúñiga,House
PASEO DEL ORIGEN 500,13200,3,2,108,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Calle Macarena 105,19500,4,2,176,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
Ricardo Guiraldes 5395,35000,4,3,240,Jardines Universidad,Zapopan,House
OBSIDIANA 2786,45000,4,4,503,Fraccionamiento Residencial Victoria,Zapopan,House
Tenochtitlan 333,25900,4,2,180,Jardines Del Sol,Zapopan,House
"San Ignacio #466 Int 63,",11250,2,2,84,Fraccionamiento Juan Gil Preciado,Zapopan,House
Fresno 41,17000,3,2,289,San Agustín,Tlajomulco de Zúñiga,House
paseo del anochecer ,30000,3,3,190,Fraccionamiento Solares,Zapopan,House
Puerta Las Lomas ,160000,4,5,362,Fraccionamiento Puerta Las Lomas,Zapopan,House
ORION  Y CREPUSCULO,29000,5,3,249,Fraccionamiento Jardines Del Bosque,Guadalajara,House
Ambar,35000,9,8,275,Fraccionamiento Residencial Victoria,Guadalajara,House
Aranjuez 48,25000,3,2,156,Fraccionamiento Del Pilar Residencial,Tlajomulco de Zúñiga,House
La Pradera ,58000,4,5,320,Royal Country,Zapopan,House
sendero de los encinos ,50000,4,5,428,Puerta de Hierro,Zapopan,House
Camino Viejo a Tesistan 1852,18000,3,2,80,Jardines del Valle,Zapopan,House
Av. Aviación,42000,3,3,170,Fraccionamiento Solares,Zapopan,House
Robles Gil ,27500,4,3,200,Americana,Guadalajara,House
AV ALTARA 100,8000,2,2,89,San Agustín,Tlajomulco de Zúñiga,House
Casa EN Renta Jerdines DEL Country 1221 Guadalajara Jalisco,120000,3,4,1165,Fraccionamiento Jardines Del Country,Guadalajara,House
Av. Paseo del Anochecer,26700,3,3,145,Fraccionamiento Solares,Zapopan,House
Rinconada del Camichin,3950000,1,2,105,Fraccionamiento Real de Valdepeñas,Zapopan,House
Avenida Elementia Camino a La Coladera,12500,3,2,94,San Agustín,Tlajomulco de Zúñiga,House
Av. López Mateos  5541,20280,2,2,93,Las Aguilas,Zapopan,House
Avenida Moctezuma #4298,80000,5,4,840,Jardines Del Sol,Zapopan,House
Marina Vallarta número 370 ,22000,2,3,106,Mezquitan,Guadalajara,House
puerta las lomas lagos 87,14000,3,3,90,Santa Margarita ,Zapopan,House
Coto Las Flores 345,175000,5,7,454,Fraccionamiento Puerta Las Lomas,Zapopan,House
"Av Pablo Neruda 4127, Universitaria",35000,3,3,300,Fraccionamiento Rinconada de los Novelistas,Zapopan,House
,26500,4,5,157,Fraccionamiento Solares,Zapopan,House
,45000,3,3,300,Valle Real,Zapopan,House
,36000,3,3,200,Lomas del Valle,Zapopan,House
,45000,3,2,400,Villa Universitaria,Zapopan,House
Vista sur Coto la Reserva,65000,7,4,555,Jardines del Bosque Norte,Guadalajara,House
Agua azul 2525,10000,3,2,89,Tlajomulco de Zúñiga,Jalisco,House
Valle Imperial ,13000,3,2,90,La Palmira,Zapopan,House
garibaldi,21500,4,3,127,Coto Nueva Galicia,Tlajomulco de Zúñiga,House
Conjunto Patria ,21000,3,3,130,Fraccionamiento Valle Imperial,Zapopan,House
El Manantial ,45000,4,4,389,Providencia,Guadalajara,House
"Calle Garibaldi , Terranova, Guadalajara ",40000,4,2,350,Conjunto habitacional Patria,Zapopan,House
Florencia 1055,28000,3,3,210,Fraccionamiento El Manantial,Tlajomulco de Zúñiga,House
Av. Guadalupe No 6818 GUADALUPE INN,45000,4,4,429,Providencia,Guadalajara,House
nogales 1662,26000,3,3,250,Fraccionamiento Solares,Zapopan,House
Paseo San Arturo Oriente 765,65000,6,4,500,Providencia,Guadalajara,House
C. Fedor Dostoiewski 4725A,14000,3,2,65,Fraccionamiento Guadalupe Inn,Zapopan,House
Calle Volcán Cofre de Perote 5787,50000,4,4,882,Campo de Golf Santa Anita Condominio,Tlajomulco de Zúñiga,House
Coto 5 14 A,21000,3,2,120,Girasoles Acueducto,Zapopan,House
Paseo de la alameda 25,100000,3,3,600,Valle Real,Zapopan,House
,39000,4,5,5000,Fraccionamiento Pinar de La Venta,Zapopan,House
,30000,3,3,93,Jardines de La Patria,Zapopan,House
,15000,3,2,91,El Colli Urbano,Zapopan,House
,21000,4,2,222,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
,60000,3,4,333,Royal Country,Zapopan,House
Av. Acueducto,80000,3,3,380,Puerta de Hierro,Zapopan,House
Naciones Unidas 4807 3,35000,5,5,400,Jardines Universidad,Zapopan,House
Av. Sendero De Los Robles,11500,3,2,102,Jardines de Santa Anita,Tlajomulco de Zúñiga,House
Calle de los Toronjos 440,13500,3,2,90,Nuevo México,Zapopan,House
Coto Maya 456,56000,3,5,2200,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
LOS NARANJOS 364,25500,2,2,165,Fraccionamiento Valle Imperial,Zapopan,House
Paseo del Anochecer ,17000,3,2,242,Santa Anita,Tlajomulco de Zúñiga,House
AV. GRAL RAMON CORONA  7880,13000,5,5,131,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
"Av. Universidad 2705, int 96",28500,3,5,157,Fraccionamiento Solares,Zapopan,House
"Av. Campo Príncipes 499, Campo Real, 45134 Nuevo México, Jal.",50000,3,2,242,Fraccionamineto Mítica Residencial,Zapopan,House
jilguero 2291,14500,3,4,190,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Lopez Mateos Sur #1201,56000,3,3,281,Virreyes Residencial,Zapopan,House
PERLA 3600,8500,3,4,110,Fraccionamiento Campo Real,Zapopan,House
Circuito del Lince 274,40000,2,1,229,Parque Virreyes Residencial,Zapopan,House
,7800,2,1,80,Colinas de La Primavera,Zapopan,House
,7900,4,4,70,Alta California Residencial,Tlajomulco de Zúñiga,House
,94000,4,5,804,Ciudad Del Sol,Zapopan,House
,54900,2,2,624,Fraccionamiento Residencial Victoria,Zapopan,House
,10700,6,6,91,Fraccionamiento Los Almendros,Zapopan,House
,65000,,,1200,Ciudad Bugambilia,Zapopan,House
Savia Central,18000,3,2,102,Fraccionamiento Valle de San Isidro,Zapopan,House
"RESIDENCIAL PROVENZA, COTO SUR",32000,4,4,260,Residencial Provenza,Tlajomulco de Zúñiga,House
ATLAS COLOMOS,80000,3,3,925,Condominio Lomas de las Palmas,Zapopan,House
Isla Australia,45000,3,4,577,Fraccionamiento Residencial Victoria,Guadalajara,House
Av Valle de San Isidro 184,15500,3,3,111,Villas de Zapopan,Zapopan,House
Calle A 190,9000,3,2,60,Fraccionamiento Valle de San Nicolás,Zapopan,House
Av. Adamar 1479 38,9400,2,1,89,Adamar,Tlajomulco de Zúñiga,House
Prol. Río Blanco 1360,17000,3,3,85,El Centinela,Zapopan,House
Amado Nervo  #71,53000,6,7,240,Ladrón de Guevara,Guadalajara,House
Av. Servidor Publico 1262,22000,4,3,135,Fraccionamiento Real del Carmen Grand,Zapopan,House
izvora 269,13000,3,2,102,Fraccionamiento El Oro,Tlajomulco de Zúñiga,House
Calderón de la Barca 229,55000,6,2,262,Americana,Guadalajara,House
paseo la toscana 888 168,70000,4,4,900,Ciudad Del Sol,Zapopan,House
universidad,40000,4,5,233,Santillana,Zapopan,House
5 de Mayo 190,70000,4,4,600,Bosques Vallarta,Zapopan,House
Punto Sur,149000,4,5,472,Puerta de Hierro,Zapopan,House
av Paseo del Anochecer 1058,150000,4,5,670,San Juan de Ocotan,Zapopan,House
"Av. Aviación 59, San Juan de Ocotán, 45019 Zapopan, Jal",26000,4,4,152,Punto Sur,Tlajomulco de Zúñiga,House
,29000,3,3,170,Fraccionamiento Solares,Zapopan,House
,24000,3,3,168,Valle Real,Zapopan,House
"Eca Do Queiros, Callejón del Parque, La Gavia",8100000,3,3,173,Parque de La Castellana,Zapopan,House
Paseo Solares #1333,25000,3,3,157,San Juan de Ocotan,Zapopan,House
Rinconada de los fresnos  0,13000,3,3,96,Senderos de TesistAn,Zapopan,House
Almendro,18500,3,2,140,Fraccionamiento Del Pilar Residencial,Tlajomulco de Zúñiga,House
AVENIDA C 1137,17500,3,1,96,Fraccionamiento Rinconada de Los Fresnos,Zapopan,House
CALLE GENOVA  #1135,25000,6,5,120,Zapopan,Jalisco,House
boulevard Mirasierra 93 75,15000,2,2,130,Nuevo México,Zapopan,House
SAN CARLOS ,6100,3,2,90,Fraccionamiento Palermo,Zapopan,House
Triventi,13900,3,3,117,Altavista Residencial,Zapopan,House
Paseo del anochecer ,130000,5,6,1690,El Palomar,Tlajomulco de Zúñiga,House
Alta California La Quinta  al 7001,15000,2,2,80,Jardines de Ixtepete,Zapopan,House
CAMINO VIEJO A TESISTAN 1690,43000,3,2,195,Ciudad Granja,Zapopan,House
UXMAL  94,14000,3,2,130,Fraccionamiento Arvento,Tlajomulco de Zúñiga,House
Boulevard Bosques de Santa Anita,35000,8,4,300,Arcos de Guadalupe,Zapopan,House
,26000,4,3,150,Santillana,Zapopan,House
,8500,3,2,70,Tlajomulco de Zúñiga,Jalisco,House
,3700,4,3,120,Nuevo México,Zapopan,House
,24000,4,4,184,Monumental,Guadalajara,House
,21160,2,2,250,Tlajomulco de Zúñiga,Jalisco,House
,85000,3,3,400,Puerta de Hierro,Zapopan,House
Circuito del Bosque   127 84,25000,3,2,140,Punto Sur,Tlajomulco de Zúñiga,House
Cto. Baluarte 0,25000,3,2,160,Bosques Vallarta,Zapopan,House
Altavista Pte,22000,3,4,295,Santa Anita,Tlajomulco de Zúñiga,House
Remanso de las Violetas 2173,24900,3,4,250,San Agustín,Tlajomulco de Zúñiga,House
COTO YUCATAN 19,119000,4,3,800,Altamira,Zapopan,House
Boulevard Senderos de Monte Verde ,14900,2,2,109,Altavista Residencial,Zapopan,House
avenida de la pradera 747,33000,4,4,510,Ciudad Bugambilia,Zapopan,House
Avenida Moctezuma #4298,8500,2,1,91,Adamar,Tlajomulco de Zúñiga,House
comerciantes,17500,4,2,170,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
Isla antigua #3485,14000,3,2,107,San Agustín,Tlajomulco de Zúñiga,House
paseo de la estrella 3555,10500,3,2,99,Pueblo Nextipac,Zapopan,House
vistas del sol 112,80000,5,4,840,Jardines Del Sol,Zapopan,House
,32900,5,3,220,La Estancia,Zapopan,House
,8000,2,1,69,Jardines de San José,Guadalajara,House
,24900,2,2,165,Ciudad Bugambilia,Zapopan,House
,8900,3,4,120,San Agustín,Tlajomulco de Zúñiga,House
,29900,5,5,165,Bosques Vallarta,Zapopan,House
,40000,3,3,338,Fraccionamiento Bugambilias,Zapopan,House
,35000,4,4,330,Ciudad Bugambilia,Zapopan,House
,45000,4,,310,Lomas Del Seminario,Zapopan,House
DR. ANGEL LEAÑO 1305,18000,3,3,105,Los Robles,Zapopan,House
"Avenida casa fuerte, coto El Bastión  191 196",15000,3,1,140,Fraccionamiento El Alcázar (Casa Fuerte),Tlajomulco de Zúñiga,House
Rinconada del Castaño  2519,15000,3,2,96,Fraccionamiento Rinconada de Los Fresnos,Zapopan,House
Coto Cadiz 0,14000,3,2,162,La Tijera,Tlajomulco de Zúñiga,House
Morelos  1071,21000,3,2,119,Fraccionamiento Nueva Galicia Residencial,Tlajomulco de Zúñiga,House
Av Santa Margarita,41900,5,2,209,Americana,Guadalajara,House
"""Privanza Senda",41300,3,5,315,Fraccionamiento Jardín Real,Zapopan,House
Blvd jardín real poniente 1 Palacio 18,35000,3,2,252,Fraccionamiento Solares,Zapopan,House
Francisco Zarco  23,23500,3,3,201,Fraccionamiento Jardín Real,Zapopan,House
ESCORPION 321,22750,3,2,122,Ladrón de Guevara,Guadalajara,House
Chichen-itza,50000,3,2,300,Villa Universitaria,Zapopan,House
CALLE CAMINO A LA MISIONES  2268 5,25000,4,3,375,Juan Manuel Vallarta,Zapopan,House
Boulevard Valle Imperial 1172,15000,2,2,80,Mirador Del Sol,Zapopan,House
Calz. Lázaro Cárdenas 2717,43000,4,3,290,Ciudad Granja,Zapopan,House
Paseo San Arturo Pte 685,17500,3,2,130,Fraccionamiento Jardín Real,Zapopan,House
,7900,3,2,96,Fraccionamiento Misión Del Bosque,Zapopan,House
,35000,5,6,320,Fraccionamiento Valle Imperial,Zapopan,House
,25000,5,3,170,Jardines del Bosque Norte,Guadalajara,House
,85000,4,3,600,Valle Real,Zapopan,House
,38000,4,3,373,San Wenceslao,Zapopan,House
Cometa 2891,35000,3,3,420,Jardines del Bosque,Guadalajara,House
Paseo Laurel 3730,25000,4,2,306,Arcos Vallarta,Guadalajara,House
Vista sur Coto la Reserva,16500,3,2,102,Nuevo México,Zapopan,House
JUAN FRANCISCO LUCAS 1067 P.A,10000,3,2,89,Tlajomulco de Zúñiga,Jalisco,House
PASEO DE LOS LAGOS 36,7500,2,1,1,Rancho Nuevo,Guadalajara,House
Epigmenio Preciado  2319 26,65000,4,3,480,Las Cañadas,Zapopan,House
Camino al Arenero,16400,2,2,76,La Aurora,Zapopan,House
Alta Sierra 8846 coto 10,46000,3,3,200,El Bajío,Zapopan,House
Villa Juarez 1745 Santa Anta Tepetitlán,8000,3,2,75,Alta California Residencial,Tlajomulco de Zúñiga,House
circuito cañada del tigre #6d,13500,3,2,84,Santa Ana Tepetitlán,Zapopan,House
CALZADA 1900,18000,3,3,260,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Torres Bodet 3280,55000,4,3,450,Puerta de Hierro,Zapopan,House
CERRADA DEL LABRADOR #1,32000,4,4,164,Mezquitan,Guadalajara,House
Av. Aviación 4055-int 58,20000,3,2,69,Jardines del Valle,Zapopan,House
,16000,3,2,194,Fraccionamiento Villa California,Tlajomulco de Zúñiga,House
,14000,3,3,115,Jardines El Sauz,Guadalajara,House
,21500,4,3,127,Coto Nueva Galicia,Tlajomulco de Zúñiga,House
,15000,3,3,168,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House
,23500,3,2,130,San Juan de Ocotan,Zapopan,House
,1150000,3,2,90,Residencial Plaza Guadalupe,Zapopan,House
Departamento en Venta Bosques la Victoria Expo,15000,2,1,58,Zapopan,Jalisco,House
Colibri,36000,4,2,229,Americana,Guadalajara,House
Vista del Mar 690-13,5000,2,1,85,Fraccionamiento Hacienda las Palomas,Zapopan,House
1° de Enero,11000,1,3,74,Terrazas Monraz,Guadalajara,House
Manuel J. Clouthier 5321-5-A,14500,3,2,60,Paseos del Sol,Zapopan,House
Av. Tepeyac  6161 132,16000,3,1,80,Jardines del Valle,Zapopan,House
ALVIENTO,15000,3,2,143,Villas Del Tepeyac,Zapopan,House
CALLE JUSTO SIERRA 2917,15000,4,6,110,Altavista Residencial,Zapopan,House
LOS NARANJOS 364,95000,3,3,800,Puerta de Hierro,Zapopan,House
Paseo de los Tabachines 17D,19500,4,4,124,Tepeyac,Zapopan,House
paseo la toscana 888 168,94000,3,3,804,Ciudad Del Sol,Zapopan,House
Almendro,12000,5,2,109,Fraccionamiento Altus Quintas,Zapopan,House
,35000,3,3,300,Fraccionamiento Vallarta Norte,Guadalajara,House
,130000,2,2,1160,Country Club,Guadalajara,House
,17000,4,3,242,Santa Anita,Tlajomulco de Zúñiga,House
,24000,3,2,230,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
,18500,4,5,140,Fraccionamiento Del Pilar Residencial,Tlajomulco de Zúñiga,House
,40000,5,3,233,Santillana,Zapopan,House
,17500,6,5,140,Fraccionamiento Real de Valdepeñas,Zapopan,House
,25000,,,120,Zapopan,Jalisco,House
Av paseo altanza 2132,21000,3,2,110,San Juan de Ocotan,Zapopan,House
AV. LA FORESTA NUMERO 11,33000,5,5,146,Fraccionamiento Solares,Zapopan,House
