Location,Price,No. of rooms,No. of bathrooms,Area,Adress,Colony,Type
,75000,4,,840,El Palomar,Tlajomulco de Zúñiga,House
,145000,,,1408,Puerta de Hierro,Zapopan,House
Calle Paseo San Arturo Sur 717,100000,4,4,501,Valle Real,Zapopan,House
av aviacion 4304,23000,3,2,140,Fraccionamiento Jardín Real,Zapopan,House
Paseo Solares 2175,32500,4,4,180,Fraccionamiento Solares,Zapopan,House
abogados,10200,3,2,96,Foret,Zapopan,House
SENDERO DE LAS LADERAS 111,21000,3,2,120,Observatorio,Guadalajara,House
Blvd. de las Flores,750000,8,9,605,Fraccionamiento Jardines de Guadalupe,Zapopan,House
imperio bizantino ,13500,3,2,120,Fraccionamiento Senderos de Monte Verde,Tlajomulco de Zúñiga,House
Circuito Vesubio 39,80000,3,5,485,Puerta de Hierro,Zapopan,House
CAMINO A LA CUESTA 601 46,21000,3,4,174,Fraccionamiento Valle Imperial,Zapopan,House
Blvrd Bosque de Santa Anita 100,35000,4,5,424,Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Colomos Providencia,35000,3,5,450,Rinconada Santa Anita,Tlajomulco de Zúñiga,House
Paseo altanza 132,68000,3,2,294,Americana,Guadalajara,House
coto 1 colinas de san isidro,15000,3,3,136,Bosque Real de Santa Anita,Tlajomulco de Zúñiga,House
Coto Zanthe,47000,5,3,160,Fraccionamiento Colomos Providencia,Guadalajara,House
Paseo San Arturo ,29000,4,3,147,Fraccionamiento Solares,Zapopan,House
Paseo De La toscana 456,21000,4,3,182,El Centinela,Zapopan,House
,29500,3,3,144,Fraccionamiento Solares,Zapopan,House
,38300,3,3,200,Lomas del Valle,Zapopan,House
,110000,3,,644,Valle Real,Zapopan,House
,50000,,,250,Valle Real,Zapopan,House
AV PASEO DEL ALVA 1192,12000,3,2,140,Sendas Residencial,Zapopan,House
Colegio militar 3842,13800,3,2,94,El Fortín,Zapopan,House
periferico norte manuel gomez morin 1000,4500,2,1,80,Lomas de San Agustin,Tlajomulco de Zúñiga,House
Coto Asturias,42000,3,3,300,Fraccionamiento Puerta del Valle,Zapopan,House
Av. Camino Real a Colima  200,145000,3,4,492,Puerta de Hierro,Zapopan,House
Av. Guadalupe 5040,15000,3,2,126,Adamar,Tlajomulco de Zúñiga,House
tiziano,22100,3,2,120,Arcos de Guadalupe,Zapopan,House
Condominio MONARCA,66000,5,6,620,La Estancia,Zapopan,House
Casa EN Renta EL Fortin 3078 Zapopan Jalisco,46000,4,4,184,Ciudad Granja,Zapopan,House
Av. Guadalupe 690,10000,2,1,70,El Fortín,Zapopan,House
Av. Aviacion,169500,7,3,493,Chapalita,Guadalajara,House
Tonatiuh 223,24000,3,2,168,Fraccionamiento Solares,Zapopan,House
INGLATERRA 6835,30200,4,2,300,Ciudad Del Sol,Zapopan,House
Avenida Moctezuma 6205,25000,3,3,131,Bosques de Zapopan,Zapopan,House
Av. Ávila Camacho 2959,15500,2,1,65,Hacienda Del Tepeyac,Zapopan,House
ARCE MENOR 165,55000,3,4,289,Country Club,Guadalajara,House
BULEVAR BOSQUES DE SANTA ANITA ,24500,3,3,165,Fraccionamiento Valle Imperial,Zapopan,House
Justo Sierra  3019,14000,3,2,130,Fraccionamiento El Paraíso,Tlajomulco de Zúñiga,House
Casa EN Renta Jardines DE SAN Ignacio Guadalajara,37000,4,3,320,Fraccionamiento Vallarta Norte,Guadalajara,House
,110000,5,5,1050,Fraccionamiento Jardines de San Ignacio,Zapopan,House
Elementia 117,10500,2,2,80,Element,Tlajomulco de Zúñiga,House
Brasilia  2790 A1,23900,1,1,60,Fraccionamiento Colomos Providencia,Guadalajara,House
Av. Naciones Unidas,100000,4,4,230,Los Castaños,Zapopan,House
López Mateos Sur 1450,26000,3,2,140,El Palomar,Tlajomulco de Zúñiga,House
Av. Monte Verde 3347,14000,4,4,85,Natura Bosque Residencial,Zapopan,House
Coto Acanthia,28500,3,4,149,Fraccionamiento Solares,Zapopan,House
Avenida General Ramón Corona,55000,4,3,464,Fraccionamiento Solares,Zapopan,House
Enrique Olvarria y Ferarri 3543 02,16000,3,2,90,Fraccionamiento Jardines Del Nilo,Guadalajara,House
Alcazar Poniente,150000,4,5,479,El Álcazar,Zapopan,House
Pablo neruda  4127,36000,3,3,200,Lomas del Valle,Zapopan,House
El Bajío Habitat,47000,4,3,347,El Bajío,Zapopan,House
paseo la cañada 3884,75000,3,3,717,Lomas del Valle,Zapopan,House
Coto 1,24500,3,2,128,Santillana,Zapopan,House
Paseo del Anochecer 964,28000,3,4,144,Fraccionamiento Solares,Zapopan,House
CALZADA DE LOS FRESNOS ,28000,3,3,219,Ciudad Granja,Zapopan,House
Av. Paseo del Anochecer 418,45000,3,3,234,Fraccionamiento Solares,Zapopan,House
Coto Asturias,145000,3,4,494,Puerta de Hierro,Zapopan,House
SAN ORCAR 3A,20000,3,2,238,Arboleda Bosques de Santa Anita,Tlajomulco de Zúñiga,House
Chichimecas,45000,4,2,253,Monraz,Guadalajara,House
"Fracc. La Rioja, Los Gavilanes",26650,3,3,169,La Rioja,Tlajomulco de Zúñiga,House
Paseo del trento 510,14500,3,3,90,El Fortín,Zapopan,House
Av Lopez Mateos Sur 5555,38000,3,4,305,Residencial Provenza,Tlajomulco de Zúñiga,House
Mar Blanco,26000,4,4,153,Fraccionamiento Lomas Del Country,Guadalajara,House
VALLE DE MEXICO 85,59000,3,2,360,Valle Real,Zapopan,House
Paseo Solares 1333,25000,3,3,300,El Palomar,Tlajomulco de Zúñiga,House
Av. Cruz del sur,25000,3,3,157,Fraccionamiento Solares,Zapopan,House
PUNTO SUR ,16300,3,2,148,Jardines Del Sur,Guadalajara,House
Laureles 181,30000,3,4,253,Los Gavilanes Poniente,Tlajomulco de Zúñiga,House
