Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
Goya 593 6,12000,2.0,4.0,53.0,Francisco Sarabia,Zapopan,Department,226.41509433962264,2.0,10k-20k
Cosmocrat Puerta de Hierro,12500,2.0,2.0,53.0,Mezquitan Country,Guadalajara,Department,235.8490566037736,1.0,10k-20k
MORELOS 2080,18000,1.0,1.0,53.0,Arcos Vallarta,Guadalajara,Department,339.62264150943395,1.0,10k-20k
"Josefa Ortiz de Domínguez 2512, Santa Ana Tepetitlán, Zapopan, Jalisco",8400,2.0,2.0,53.0,Santa Ana Tepetitlán,Zapopan,Department,158.49056603773585,1.0,0-10k
,18000,2.0,2.0,53.0,Arcos Vallarta,Guadalajara,Department,339.62264150943395,1.0,10k-20k
 Av Paseo de la toscana,21800,1.0,1.0,54.0,Fraccionamiento Solares,Zapopan,Department,403.7037037037037,1.0,20k-30k
C. Hipódromo 2005 A,21800,1.0,1.0,54.0,Fraccionamiento Solares,Zapopan,Department,403.7037037037037,1.0,20k-30k
Calle La Rioja 2889,12500,2.0,2.0,54.0,Mezquitan Country,Guadalajara,Department,231.4814814814815,1.0,10k-20k
TOREROS 613,13000,2.0,2.0,54.0,El Vigía,Zapopan,Department,240.74074074074073,1.0,10k-20k
josefa ortiz de cominguez,8600,2.0,2.0,55.0,Santa Ana Tepetitlán,Zapopan,Department,156.36363636363637,1.0,0-10k
Tenochtitlan 34 5,9000,2.0,2.0,55.0,Santa Ana Tepetitlán,Zapopan,Department,163.63636363636363,1.0,0-10k
Livify,23000,1.0,2.0,55.0,Jardines Universidad,Zapopan,Department,418.1818181818182,2.0,20k-30k
Livify,23000,1.0,1.0,55.0,Jardines Universidad,Zapopan,Department,418.1818181818182,1.0,20k-30k
Josefa Ortiz de Dominguez 180,9000,2.0,2.0,55.0,Santa Ana Tepetitlán,Zapopan,Department,163.63636363636363,1.0,0-10k
Ley,17000,1.0,1.0,55.0,Providencia,Guadalajara,Department,309.09090909090907,1.0,10k-20k
Livify,18700,1.0,2.0,55.0,San Juan de Ocotan,Zapopan,Department,340.0,2.0,10k-20k
Av. Central Guillermo González Camarena #500,9000,2.0,3.0,55.0,Santa Ana Tepetitlán,Zapopan,Department,163.63636363636363,1.5,0-10k
Av. Circunvalación Alvarez del Castillo 1018,25000,1.0,1.0,55.0,Providencia,Guadalajara,Department,454.54545454545456,1.0,20k-30k
San Bonifacio 466 int 13 ,8600,2.0,2.0,55.0,Santa Ana Tepetitlán,Zapopan,Department,156.36363636363637,1.0,0-10k
,13000,2.0,2.0,56.0,Francisco Sarabia,Zapopan,Department,232.14285714285714,1.0,10k-20k
C. Anastasio Bustamante 1400,13000,2.0,3.0,56.0,Francisco Sarabia,Zapopan,Department,232.14285714285714,1.5,10k-20k
C. Juan Ruiz de Alarcón 519,20000,2.0,2.0,56.0,Moderna,Guadalajara,Department,357.14285714285717,1.0,10k-20k
Av Vallarta 2468,20000,2.0,2.0,56.0,Moderna,Guadalajara,Department,357.14285714285717,1.0,10k-20k
"Juan Ruiz de Alarcón 229 102 , Americana , 44160 Guadalajara, Jalisco, México",9000,2.0,1.0,56.0,San Carlos,Guadalajara,Department,160.71428571428572,0.5,0-10k
"Mar Mediterráneo 1254, 44610 Guadalajara, Jal.",17000,2.0,1.0,56.0,Moderna,Guadalajara,Department,303.57142857142856,0.5,10k-20k
PUENTE EL PALOMAR 400,16000,2.0,1.0,56.0,Arcos Vallarta,Guadalajara,Department,285.7142857142857,0.5,10k-20k
"Valparaíso 2367-interior P02B, Providencia",23000,1.0,1.0,57.0,Providencia,Guadalajara,Department,403.50877192982455,1.0,20k-30k
,10800,2.0,2.0,57.0,Colonia Huentitán El Alto,Guadalajara,Department,189.47368421052633,1.0,10k-20k
Avenida Niños Héroes ,15000,2.0,1.0,57.0,Moderna,Guadalajara,Department,263.1578947368421,0.5,10k-20k
Josefa Ortiz de Dominguez 2512,9500,2.0,2.0,58.0,Santa Ana Tepetitlán,Zapopan,Department,163.79310344827587,1.0,0-10k
Departamento en Venta Bosques la Victoria Expo,15000,2.0,1.0,58.0,Zapopan,Other,House,258.62068965517244,0.5,10k-20k
,6500,2.0,2.0,59.0,Mirador ,Tonalá,Department,110.16949152542372,1.0,0-10k
,12250,1.0,1.0,59.0,Las Aguilas,Zapopan,Department,207.6271186440678,1.0,10k-20k
Calle Vidrio 1352,12000,1.0,1.0,60.0,Americana,Guadalajara,Department,200.0,1.0,10k-20k
Asuncion 1985,18000,1.0,1.0,60.0,Ladrón de Guevara,Guadalajara,Department,300.0,1.0,10k-20k
