Location,Price,No. of rooms,No. of bathrooms,Area,Neighborhood,Municipality,Type,Price per sq meter,Bathrooms per room,Price_Category
,7900,4.0,4.0,70.0,Alta California Residencial,Tlajomulco de Zúñiga,House,112.85714285714286,1.0,0-10k
Morelos 2080,21500,2.0,2.0,70.0,Americana,Guadalajara,Department,307.14285714285717,1.0,20k-30k
"Condominio Hacienda Nápoles, Fraccionamiento Hacienda Santa Cruz",6500,3.0,1.0,70.0,Hacienda Santa Cruz,Tlajomulco de Zúñiga,House,92.85714285714286,0.3333333333333333,0-10k
"Juan Palomar y Arias 765, Prados Providencia",19000,3.0,3.0,70.0,Americana,Guadalajara,Department,271.42857142857144,1.0,10k-20k
Av Niños Héroes 2050,18000,1.0,1.0,70.0,Americana,Guadalajara,Department,257.14285714285717,1.0,10k-20k
"Av. Hidalgo, Ladrón de Guevara, Guadalajara, Fraccionamiento Ladrón de Guevara, Guadalajara",19500,1.0,2.0,70.0,Ladrón de Guevara,Guadalajara,Department,278.57142857142856,2.0,10k-20k
,35000,1.0,2.0,70.0,Americana,Guadalajara,Department,500.0,2.0,30k-40k
Av. Guadalupe 690,10000,2.0,1.0,70.0,El Fortín,Zapopan,House,142.85714285714286,0.5,0-10k
Av. Central Guillermo Gónzalez Camarena 500,17000,1.0,1.0,70.0,Americana,Guadalajara,Department,242.85714285714286,1.0,10k-20k
Avenida Central Guillermo Gonzalez Camarena,16800,1.0,1.0,71.0,Arcos Vallarta,Guadalajara,Department,236.61971830985917,1.0,10k-20k
,14500,3.0,2.0,71.0,Bosques de Santa Anita,Tlajomulco de Zúñiga,House,204.22535211267606,0.6666666666666666,10k-20k
Calle Mar Ross No 1478 colonia country club   ,16800,1.0,1.0,71.0,Arcos Vallarta,Guadalajara,Department,236.61971830985917,1.0,10k-20k
Manuel M Dieguez 489,13000,2.0,1.0,71.0,Constitución,Zapopan,Department,183.09859154929578,0.5,10k-20k
,7500,3.0,1.0,71.0,Fraccionamiento Residencial Amaranto,Zapopan,House,105.63380281690141,0.3333333333333333,0-10k
San Juan de Letrán 4353,16800,1.0,1.0,71.0,Arcos Vallarta,Guadalajara,Department,236.61971830985917,1.0,10k-20k
Manuel J. Clouthier 5321-5-A,7350,3.0,2.0,71.0,Fraccionamiento Residencial Amaranto,Zapopan,House,103.52112676056338,0.6666666666666666,0-10k
Av. Adolfo López Mateos Sur 4255,19800,1.0,2.0,71.0,Vallarta Universidad,Zapopan,Department,278.8732394366197,2.0,10k-20k
perla 3623,18500,2.0,3.0,72.0,Fraccionamiento Valle Imperial,Zapopan,Department,256.94444444444446,1.5,10k-20k
Justo Sierra 2135,21000,1.0,2.0,72.0,Providencia,Guadalajara,Department,291.6666666666667,2.0,20k-30k
gabriel castaños 2769,25000,1.0,2.0,72.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,347.22222222222223,2.0,20k-30k
"PLAN DE SAN LUIS 2058, Mezquitan Country, Guadalajara No. Ext 2058 Lomas del Country",23500,2.0,2.0,72.0,Mezquitan Country,Guadalajara,Department,326.3888888888889,1.0,20k-30k
Vereda de la Alondra 8,21000,1.0,2.0,72.0,Providencia,Guadalajara,Department,291.6666666666667,2.0,20k-30k
juan ruiz de alarcon 229,25000,2.0,2.0,72.0,Americana,Guadalajara,Department,347.22222222222223,1.0,20k-30k
Av. Aviacion,19000,1.0,1.0,72.0,Americana,Guadalajara,Department,263.8888888888889,1.0,10k-20k
brasilia 2790,21000,1.0,2.0,72.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,291.6666666666667,2.0,20k-30k
Brasilia 2790,25000,1.0,2.0,72.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,347.22222222222223,2.0,20k-30k
Lerdo de Tejada 2571,19000,1.0,1.0,72.0,Americana,Guadalajara,Department,263.8888888888889,1.0,10k-20k
Av Talavera Poniente 3605,25000,1.0,2.0,72.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,347.22222222222223,2.0,20k-30k
Juan Palomar y Arias 765,40000,1.0,2.0,72.0,Prados de Providencia,Guadalajara,Department,555.5555555555555,2.0,30k-40k
"Calle Vidrio 1984, Col Americana",23000,2.0,2.0,72.0,Americana,Guadalajara,Department,319.44444444444446,1.0,20k-30k
,16000,2.0,2.0,73.0,El Campanario,Zapopan,Department,219.17808219178082,1.0,10k-20k
Jose Maria Morelos 2080,21500,2.0,2.0,73.0,Ladrón de Guevara,Guadalajara,Department,294.52054794520546,1.0,20k-30k
Torre Livorno,16000,1.0,1.0,73.0,Fraccionamiento Ladrón de Guevara,Guadalajara,Department,219.17808219178082,1.0,10k-20k
Calle Mar mediterráneo 1254,22000,1.0,1.0,73.0,Ladrón de Guevara,Guadalajara,Department,301.36986301369865,1.0,20k-30k
Brasilia 2790,24500,1.0,2.0,74.0,Providencia,Guadalajara,Department,331.0810810810811,2.0,20k-30k
Av. Hidalgo 1995,22000,1.0,1.0,74.0,Arcos Vallarta,Guadalajara,Department,297.2972972972973,1.0,20k-30k
Eutimio Pinzón al 900,13990,2.0,2.0,74.0,Lomas Independencia,Guadalajara,Department,189.05405405405406,1.0,10k-20k
Paseo de los Virreyes 45,25000,2.0,2.0,74.0,Providencia 1a Secc,Guadalajara,Department,337.8378378378378,1.0,20k-30k
Av. Naciones Unidas 5546,22000,2.0,2.0,74.0,Vallarta Universidad,Zapopan,Department,297.2972972972973,1.0,20k-30k
Juan Ruiz de Alarcón,24000,1.0,2.0,74.0,Arcos Vallarta,Guadalajara,Department,324.3243243243243,2.0,20k-30k
Avenida Juan Palomar y Arias 765,23000,2.0,2.0,74.0,Vallarta Universidad,Zapopan,Department,310.81081081081084,1.0,20k-30k
Av. México 5000,20000,1.0,1.0,74.0,Providencia,Guadalajara,Department,270.27027027027026,1.0,10k-20k
Av. Patria 240 ,23000,2.0,2.0,74.0,Vallarta Universidad,Zapopan,Department,310.81081081081084,1.0,20k-30k
,11000,1.0,1.0,74.0,Terrazas Monraz,Guadalajara,House,148.64864864864865,1.0,10k-20k
SEBASTIAN BACH 5522 COLONIA LA ESTANCIA ,12000,2.0,1.0,74.0,La Estancia,Zapopan,Department,162.16216216216216,0.5,10k-20k
1° de Enero,11000,1.0,3.0,74.0,Terrazas Monraz,Guadalajara,House,148.64864864864865,3.0,10k-20k
Depa en Renta Providencia en Jose Maria Vigil,23000,1.0,1.0,74.0,Americana,Guadalajara,Department,310.81081081081084,1.0,20k-30k
Prolongación Gigantes,23500,2.0,2.0,74.0,Mezquitan Country,Guadalajara,Department,317.56756756756755,1.0,20k-30k
Vía Láctea 4310,11000,1.0,2.0,74.0,Arboledas ,Zapopan,Department,148.64864864864865,2.0,10k-20k
Vía Láctea 4310,11000,1.0,1.0,74.0,Arboledas ,Zapopan,Department,148.64864864864865,1.0,10k-20k
Torre Livorno,24500,1.0,2.0,74.0,Providencia,Guadalajara,Department,331.0810810810811,2.0,20k-30k
Alta Sierra 8846 coto 10,8000,3.0,2.0,75.0,Alta California Residencial,Tlajomulco de Zúñiga,House,106.66666666666667,0.6666666666666666,0-10k
,11500,2.0,2.0,75.0,Hogares de Nuevo México,Zapopan,House,153.33333333333334,1.0,10k-20k
Av. Acueducto #135,19000,2.0,2.0,75.0,Ayuntamiento,Guadalajara,Department,253.33333333333334,1.0,10k-20k
"Av. Acueducto 6075, Puerta de Hierro",18500,1.0,2.0,75.0,Fraccionamiento Solares,Zapopan,Department,246.66666666666666,2.0,10k-20k
Euclides #3233,9000,3.0,2.0,75.0,Vista Sur Residencial,Tlajomulco de Zúñiga,House,120.0,0.6666666666666666,0-10k
,14500,3.0,2.0,75.0,Ciudad de los niños,Zapopan,Department,193.33333333333334,0.6666666666666666,10k-20k
GONZAGA #4386,14500,3.0,2.0,75.0,Ciudad de los niños,Zapopan,Department,193.33333333333334,0.6666666666666666,10k-20k
Avenida México 5000,24000,2.0,2.0,75.0,Valle Real,Zapopan,Department,320.0,1.0,20k-30k
,24000,2.0,2.0,75.0,Valle Real,Zapopan,Department,320.0,1.0,20k-30k
aurora boreal ,24000,1.0,2.0,75.0,Providencia,Guadalajara,Department,320.0,2.0,20k-30k
Valparaiso,24000,2.0,2.0,75.0,Providencia,Guadalajara,Department,320.0,1.0,20k-30k
,11500,2.0,1.0,75.0,Hogares de Nuevo México,Zapopan,House,153.33333333333334,0.5,10k-20k
valparaiso 2367,27000,1.0,1.0,75.0,Providencia 1a Secc,Guadalajara,Department,360.0,1.0,20k-30k
Villa Juarez 1745 Santa Anta Tepetitlán,8000,3.0,2.0,75.0,Alta California Residencial,Tlajomulco de Zúñiga,House,106.66666666666667,0.6666666666666666,0-10k
Turmalina,9000,3.0,2.0,75.0,Vista Sur Residencial,Tlajomulco de Zúñiga,House,120.0,0.6666666666666666,0-10k
VITTA ,13500,1.0,2.0,75.0,Nuevo México,Zapopan,Department,180.0,2.0,10k-20k
"1360, Circunvalación Americas, 44630",6000,1.0,2.0,75.0,Santa María de Silo,Guadalajara,Department,80.0,2.0,0-10k
"Av Paseo del Alva 1192, coto 1",11500,2.0,2.0,75.0,Hogares de Nuevo México,Zapopan,House,153.33333333333334,1.0,10k-20k
GIRASOLES 1628,10000,2.0,1.0,75.0,Santa Ana Tepetitlán,Zapopan,House,133.33333333333334,0.5,0-10k
MANUEL M DIEGUEZ 900,12500,2.0,2.0,75.0,Colinas de los Belenes,Zapopan,Department,166.66666666666666,1.0,10k-20k
Av. Naciones Unidas 7879,19000,1.0,2.0,76.0,Virreyes Residencial,Zapopan,Department,250.0,2.0,10k-20k
Camino al Arenero,16400,2.0,2.0,76.0,La Aurora,Zapopan,House,215.78947368421052,1.0,10k-20k
"Blvrd Puerta de Hierro 5065, 45116 Zapopan, Jal.",13500,3.0,1.0,76.0,Ciudad Bugambilia,Zapopan,Department,177.6315789473684,0.3333333333333333,10k-20k
Avenida López Mateos  5541,24000,1.0,2.0,76.0,Valle Real,Zapopan,Department,315.7894736842105,2.0,20k-30k
" São Paulo 1912, Providencia, 44630 Guadalajara, Jal.",23000,1.0,2.0,76.0,Providencia,Guadalajara,Department,302.63157894736844,2.0,20k-30k
,21500,2.0,4.0,76.0,Jardines de los Arcos,Guadalajara,Department,282.89473684210526,2.0,20k-30k
Av. Piotr Ilich Tchaikovski 455,16000,2.0,1.0,77.0,Fraccionamiento Real de Valdepeñas,Zapopan,Department,207.7922077922078,0.5,10k-20k
Calle Ontario 1728,25000,2.0,1.0,77.0,Valle Real,Zapopan,Department,324.6753246753247,0.5,20k-30k
Av. Aviación 4139 205-B,16000,2.0,2.0,77.0,Fraccionamiento Real de Valdepeñas,Zapopan,Department,207.7922077922078,1.0,10k-20k
otawa 1560,28000,1.0,1.0,77.0,Providencia,Guadalajara,Department,363.6363636363636,1.0,20k-30k
Eutimio pinzon 677,14500,2.0,2.0,77.0,Francisco Sarabia,Zapopan,Department,188.3116883116883,1.0,10k-20k
Diagonal san Jorge 93 Guadalajara ,25000,2.0,2.0,77.0,Valle Real,Zapopan,Department,324.6753246753247,1.0,20k-30k
Ottawa,28500,1.0,1.0,77.0,Providencia,Guadalajara,Department,370.12987012987014,1.0,20k-30k
,13500,3.0,1.0,77.0,Conjunto habitacional Patria,Zapopan,Department,175.32467532467533,0.3333333333333333,10k-20k
,28500,1.0,1.0,77.0,Providencia,Guadalajara,Department,370.12987012987014,1.0,20k-30k
Av. Universidad  1000,28500,1.0,2.0,77.0,Providencia,Guadalajara,Department,370.12987012987014,2.0,20k-30k
valparaiso 2367,25000,1.0,1.0,78.0,Providencia 1a Secc,Guadalajara,Department,320.5128205128205,1.0,20k-30k
san juan de letran 4353,19500,2.0,2.0,78.0,Parque Virreyes Residencial,Zapopan,Department,250.0,1.0,10k-20k
Av Nicolás Copernico  4225 5,15500,2.0,1.0,79.0,El Vigía,Zapopan,Department,196.20253164556962,0.5,10k-20k
Av. Providencia,18000,2.0,2.0,80.0,Providencia,Guadalajara,Department,225.0,1.0,10k-20k
,23500,2.0,2.0,80.0,Jardines del Bosque Norte,Guadalajara,Department,293.75,1.0,20k-30k
Av Bosque Real ,4500,2.0,1.0,80.0,Lomas de San Agustin,Tlajomulco de Zúñiga,House,56.25,0.5,0-10k
,13800,2.0,2.0,80.0,Fraccionamiento Real de Valdepeñas,Zapopan,Department,172.5,1.0,10k-20k
São Paulo 1912,26000,1.0,2.0,80.0,Providencia,Guadalajara,Department,325.0,2.0,20k-30k
Paseo San Antonio   2641,7000,4.0,3.0,80.0,Fraccionamiento Parques de Tesistán,Zapopan,House,87.5,0.75,0-10k
SECUNDINA GALLO 707,9500,2.0,2.0,80.0,Electricistas,Guadalajara,Department,118.75,1.0,0-10k
periferico norte manuel gomez morin 1000,4500,2.0,1.0,80.0,Lomas de San Agustin,Tlajomulco de Zúñiga,House,56.25,0.5,0-10k
Alta California La Quinta  al 7001,15000,2.0,2.0,80.0,Jardines de Ixtepete,Zapopan,House,187.5,1.0,10k-20k
av. vallarta ,11500,2.0,3.0,80.0,Oblatos,Guadalajara,Department,143.75,1.5,10k-20k
hidalgo,12000,3.0,2.0,80.0,Fraccionamiento Villas Del Ixtepete,Zapopan,Department,150.0,0.6666666666666666,10k-20k
Elementia 117,10500,2.0,2.0,80.0,Element,Tlajomulco de Zúñiga,House,131.25,1.0,10k-20k
Paseo Andares,13500,3.0,1.0,80.0,Jardines Universidad,Zapopan,Department,168.75,0.3333333333333333,10k-20k
,13500,3.0,1.0,80.0,Jardines Universidad,Zapopan,Department,168.75,0.3333333333333333,10k-20k
vereda del ganso Puerta de hierro,12000,3.0,3.0,80.0,Fraccionamiento Parques de Tesistán,Zapopan,House,150.0,1.0,10k-20k
,7800,2.0,1.0,80.0,Colinas de La Primavera,Zapopan,House,97.5,0.5,0-10k
Av General Ramon corona 2243,17000,2.0,2.0,80.0,Chapalita Sur,Zapopan,Department,212.5,1.0,10k-20k
San Juan de la Cruz,13500,2.0,1.0,80.0,Fraccionamiento Camino Real,Zapopan,Department,168.75,0.5,10k-20k
privada tlaloc 1289,10900,3.0,2.0,80.0,Fraccionamiento Villas Del Ixtepete,Zapopan,Department,136.25,0.6666666666666666,10k-20k
,11000,1.0,2.0,80.0,El Vigía,Zapopan,House,137.5,2.0,10k-20k
Av. Circunvalación Alvarez del Castillo 1018,23000,2.0,2.0,80.0,San Juan de Ocotan,Zapopan,Department,287.5,1.0,20k-30k
Av. Circunvalación Agustín Yáñez 2471,20000,2.0,2.0,80.0,Arcos Vallarta,Guadalajara,Department,250.0,1.0,10k-20k
,14000,1.0,3.0,80.0,Girasoles Acueducto,Zapopan,House,175.0,3.0,10k-20k
Mariano Otero 5664,10500,1.0,1.0,80.0,Paseos del Sol,Zapopan,Department,131.25,1.0,10k-20k
Tenochtitlán 4504,11000,1.0,1.0,80.0,El Vigía,Zapopan,House,137.5,1.0,10k-20k
Av Miguel Hidalgo y Costilla ,27000,2.0,2.0,80.0,Fraccionamiento Jardines del Country,Guadalajara,Department,337.5,1.0,20k-30k
Residencial Amaranto ,11500,2.0,2.0,80.0,Fraccionamiento Cortijo de San Agustin,Tlajomulco de Zúñiga,House,143.75,1.0,10k-20k
"RESIDENCIAL PROVENZA, COTO SUR",16000,3.0,2.0,80.0,Jardines del Valle,Zapopan,House,200.0,0.6666666666666666,10k-20k
gabriel castaños 2769,25000,2.0,2.0,80.0,Arcos Vallarta,Guadalajara,Department,312.5,1.0,20k-30k
Boulevard Valle Imperial 1172,15000,2.0,2.0,80.0,Mirador Del Sol,Zapopan,House,187.5,1.0,10k-20k
Stelar Boreal,12000,2.0,2.0,80.0,Providencia,Guadalajara,Department,150.0,1.0,10k-20k
Av. Tepeyac  6161 132,16000,3.0,1.0,80.0,Jardines del Valle,Zapopan,House,200.0,0.3333333333333333,10k-20k
AV. LA CIMA 295,7000,4.0,3.0,80.0,Fraccionamiento Parques de Tesistán,Zapopan,House,87.5,0.75,0-10k
,17500,2.0,2.0,80.0,Americana,Guadalajara,Department,218.75,1.0,10k-20k
Paseo de La luna,26000,1.0,2.0,80.0,Providencia,Guadalajara,Department,325.0,2.0,20k-30k
av tepeyac 6050,15000,2.0,2.0,80.0,Jardines de Ixtepete,Zapopan,House,187.5,1.0,10k-20k
 Av. Paseo del Anochecer 1207,9900,3.0,2.0,80.0,Fraccionamiento Real Del Valle,Tlajomulco de Zúñiga,House,123.75,0.6666666666666666,0-10k
,11700,3.0,2.0,80.0,Fraccionamiento Valle Imperial,Zapopan,House,146.25,0.6666666666666666,10k-20k
Fracc. Element  11,12000,3.0,3.0,80.0,Fraccionamiento Parques de Tesistán,Zapopan,House,150.0,1.0,10k-20k
Pico de Orizaba 124,9800,3.0,3.0,80.0,Fraccionamiento Real Del Bosque,Zapopan,House,122.5,1.0,0-10k
Aglaya 2591,10000,3.0,2.0,80.0,Lomas Independencia,Guadalajara,House,125.0,0.6666666666666666,0-10k
ISLA CONTOY 3144,8900,3.0,2.0,80.0,Parques de Colón,Guadalajara,House,111.25,0.6666666666666666,0-10k
Camino Viejo a Tesistan 1852,18000,3.0,2.0,80.0,Jardines del Valle,Zapopan,House,225.0,0.6666666666666666,10k-20k
,13500,2.0,1.0,80.0,Fraccionamiento Camino Real,Zapopan,Department,168.75,0.5,10k-20k
Av punto Sur 312,9800,3.0,3.0,80.0,Fraccionamiento Real Del Bosque,Zapopan,House,122.5,1.0,0-10k
Buenos Aires  2066,8000,3.0,1.0,81.0,La Moraleja,Zapopan,House,98.76543209876543,0.3333333333333333,0-10k
,28000,2.0,2.0,81.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,345.679012345679,1.0,20k-30k
Calle Salvador López Chávez 1750,15000,2.0,2.0,81.0,San Carlos,Guadalajara,Department,185.1851851851852,1.0,10k-20k
Juan Ruiz de Alarcón  519,14500,2.0,1.0,81.0,La Palmita,Zapopan,Department,179.01234567901236,0.5,10k-20k
Atlitlalaquian 1804,15000,2.0,2.0,81.0,San Carlos,Guadalajara,Department,185.1851851851852,1.0,10k-20k
Av Sendas 1501 111,34000,2.0,2.0,81.0,Providencia,Guadalajara,Department,419.75308641975306,1.0,30k-40k
PUENTE EL PALOMAR TORRE BALANTY  400,14000,2.0,2.0,82.0,El Campanario,Zapopan,Department,170.73170731707316,1.0,10k-20k
Avenida Naciones Unidas #4839 - 2,24500,2.0,2.0,82.0,Arcos Vallarta,Guadalajara,Department,298.780487804878,1.0,20k-30k
Lateral anillo periférico 800,23000,2.0,2.0,82.0,San Juan de Ocotan,Zapopan,Department,280.4878048780488,1.0,20k-30k
Ciudad Bugambilia,14800,2.0,1.0,82.0,Santa Ana Tepetitlán,Zapopan,House,180.4878048780488,0.5,10k-20k
Av. Aviacion,24000,2.0,2.0,82.0,San Juan de Ocotan,Zapopan,Department,292.6829268292683,1.0,20k-30k
Sao Paulo ,24000,2.0,2.0,82.0,San Juan de Ocotan,Zapopan,Department,292.6829268292683,1.0,20k-30k
C ottawa,25000,2.0,2.0,82.0,Valle Real,Zapopan,Department,304.8780487804878,1.0,20k-30k
Duque de Rivas,24500,2.0,2.0,82.0,Arcos Vallarta,Guadalajara,Department,298.780487804878,1.0,20k-30k
,14000,3.0,1.0,83.0,Natura Bosque Residencial,Zapopan,House,168.67469879518072,0.3333333333333333,10k-20k
,12500,2.0,2.0,83.0,El Quemado,Zapopan,House,150.6024096385542,1.0,10k-20k
Av de la Campiña 5261,14000,3.0,4.0,83.0,Natura Bosque Residencial,Zapopan,House,168.67469879518072,1.3333333333333333,10k-20k
Montemorelos 3400,16500,2.0,2.0,83.0,Rinconada de La Calma,Zapopan,Department,198.79518072289156,1.0,10k-20k
TURQUESA 3358 4A,14000,3.0,3.0,83.0,Natura Bosque Residencial,Zapopan,House,168.67469879518072,1.0,10k-20k
Niños Héroes #2050,19000,2.0,2.0,83.0,Americana,Guadalajara,Department,228.9156626506024,1.0,10k-20k
Avenida niños heroes 2050,22000,2.0,2.0,84.0,Americana,Guadalajara,Department,261.9047619047619,1.0,20k-30k
,30000,3.0,3.0,84.0,Colinas de San Javier,Zapopan,Department,357.14285714285717,1.0,20k-30k
Niños Héroes 2050,18900,2.0,2.0,84.0,Americana,Guadalajara,Department,225.0,1.0,10k-20k
Punto Sur,13500,3.0,2.0,84.0,Santa Ana Tepetitlán,Zapopan,House,160.71428571428572,0.6666666666666666,10k-20k
Paseo Lomas Altas,22500,2.0,2.0,84.0,Ayuntamiento,Guadalajara,Department,267.85714285714283,1.0,20k-30k
"San Ignacio #466 Int 63,",11250,2.0,2.0,84.0,Fraccionamiento Juan Gil Preciado,Zapopan,House,133.92857142857142,1.0,10k-20k
SALVADOR LOPEZ CHAVEZ 1750-3,12000,2.0,2.0,84.0,San Carlos,Guadalajara,Department,142.85714285714286,1.0,10k-20k
CALLE JUSTO SIERRA 2917,9100,2.0,5.0,84.0,Adamar,Tlajomulco de Zúñiga,House,108.33333333333333,2.5,0-10k
Av acueducto 6075,23000,2.0,3.0,84.0,Jardines Universidad,Zapopan,Department,273.8095238095238,1.5,20k-30k
Calle Viñedo ,13500,3.0,2.0,84.0,Fraccionamiento Real de Valdepeñas,Zapopan,House,160.71428571428572,0.6666666666666666,10k-20k
Av. Naciones Unidas 7879,22500,2.0,2.0,84.0,Ayuntamiento,Guadalajara,Department,267.85714285714283,1.0,20k-30k
Av acueducto 6075,35000,2.0,2.0,84.0,Puerta de Hierro,Zapopan,Department,416.6666666666667,1.0,30k-40k
BRASILIA 2790,25000,2.0,2.0,84.0,Colinas de San Javier,Zapopan,Department,297.6190476190476,1.0,20k-30k
CTO. DE LOS HIMALAYA 1351,17000,2.0,2.0,84.0,Alcalde Barranquitas,Guadalajara,Department,202.38095238095238,1.0,10k-20k
circuito cañada del tigre #6d,13500,3.0,2.0,84.0,Santa Ana Tepetitlán,Zapopan,House,160.71428571428572,0.6666666666666666,10k-20k
NIÑOS HEROES 2050 ESQUINA CON MARSELLA,19500,2.0,2.0,85.0,Americana,Guadalajara,Department,229.41176470588235,1.0,10k-20k
,21500,2.0,2.0,85.0,Americana,Guadalajara,Department,252.94117647058823,1.0,20k-30k
Av Lopez Mateos Sur 5555,12000,3.0,2.0,85.0,Villas de Zapopan,Zapopan,House,141.1764705882353,0.6666666666666666,10k-20k
Juan Ruiz de Alarcon ,22000,2.0,2.0,85.0,Valle Real,Zapopan,Department,258.8235294117647,1.0,20k-30k
Pablo Casals 487,14500,2.0,2.0,85.0,Providencia,Guadalajara,Department,170.58823529411765,1.0,10k-20k
,32430,2.0,2.0,85.0,Ladrón de Guevara,Guadalajara,Department,381.52941176470586,1.0,30k-40k
Avenida paseo la toscana 122,21000,4.0,2.0,85.0,Santa Anita,Tlajomulco de Zúñiga,Department,247.05882352941177,0.5,20k-30k
,17800,1.0,1.0,85.0,Americana,Guadalajara,Department,209.41176470588235,1.0,10k-20k
,21000,2.0,2.0,85.0,Lomas Del Seminario,Zapopan,Department,247.05882352941177,1.0,20k-30k
,14000,1.0,1.0,85.0,Jardines de La Patria,Zapopan,Department,164.7058823529412,1.0,10k-20k
Paseo de la Guarnición,12000,3.0,2.0,85.0,Villas de Zapopan,Zapopan,House,141.1764705882353,0.6666666666666666,10k-20k
MARSELLA 226,18000,2.0,1.0,85.0,Fraccionamiento Jardines de San Ignacio,Zapopan,Department,211.76470588235293,0.5,10k-20k
,22000,2.0,2.0,85.0,Valle Real,Zapopan,Department,258.8235294117647,1.0,20k-30k
Valerio Trujano 240,19500,2.0,2.0,85.0,Americana,Guadalajara,Department,229.41176470588235,1.0,10k-20k
Vista del Mar 690-13,5000,2.0,1.0,85.0,Fraccionamiento Hacienda las Palomas,Zapopan,House,58.8235294117647,0.5,0-10k
,13000,3.0,2.0,85.0,Lomas Independencia,Guadalajara,Department,152.94117647058823,0.6666666666666666,10k-20k
Calle Salvador López Chávez 1750,18000,2.0,1.0,85.0,Fraccionamiento Jardines de San Ignacio,Zapopan,Department,211.76470588235293,0.5,10k-20k
Prol. Río Blanco 1360,17000,3.0,3.0,85.0,El Centinela,Zapopan,House,200.0,1.0,10k-20k
Av. Periférico Norte 800,22000,2.0,2.0,85.0,Santa Margarita ,Zapopan,Department,258.8235294117647,1.0,20k-30k
AVENIDA PATRIA 114,14000,2.0,1.0,85.0,Jardines de La Patria,Zapopan,Department,164.7058823529412,0.5,10k-20k
Av. Monte Verde 3347,14000,4.0,4.0,85.0,Natura Bosque Residencial,Zapopan,House,164.7058823529412,1.0,10k-20k
san agustin 1289 interior 4,18000,2.0,1.0,85.0,Fraccionamiento Jardines de San Ignacio,Zapopan,Department,211.76470588235293,0.5,10k-20k
,21000,2.0,1.0,85.0,Lomas Del Seminario,Zapopan,Department,247.05882352941177,0.5,20k-30k
san juan de letran 4353,22000,2.0,2.0,85.0,Lomas Del Seminario,Zapopan,Department,258.8235294117647,1.0,20k-30k
Lerdo de Tejada 2571,13000,3.0,2.0,85.0,Lomas Independencia,Guadalajara,Department,152.94117647058823,0.6666666666666666,10k-20k
diagonal san jorge 93,5100,1.0,2.0,85.0,Fraccionamiento Parques de Tesistán,Zapopan,Department,60.0,2.0,0-10k
ACUEDUCTO 360,22000,1.0,2.0,85.0,Lomas Del Seminario,Zapopan,Department,258.8235294117647,2.0,20k-30k
,8800,2.0,2.0,85.0,San Agustín,Tlajomulco de Zúñiga,House,103.52941176470588,1.0,0-10k
Salvador López Chávez 1750,13000,3.0,2.0,85.0,San Carlos,Guadalajara,Department,152.94117647058823,0.6666666666666666,10k-20k
,24000,2.0,2.0,86.0,Fraccionamiento Colomos Providencia,Guadalajara,Department,279.06976744186045,1.0,20k-30k
Av. Miguel Hidalgo,22500,2.0,1.0,86.0,Americana,Guadalajara,Department,261.6279069767442,0.5,20k-30k
,34000,2.0,1.0,86.0,Ciudad Granja,Zapopan,Department,395.3488372093023,0.5,30k-40k
"Av. D 718, La Cantera Habitat, 45134 Zapopan, Jal.",23360,2.0,1.0,87.0,Arcos Vallarta,Guadalajara,Department,268.5057471264368,0.5,20k-30k
Avenida Naciones Unidas #4839 - 2,19000,2.0,1.0,87.0,Jardines Universidad,Zapopan,Department,218.39080459770116,0.5,10k-20k
"avenida de la pradera 844 coto albano #46, el campestre zapopan jalisco",8500,2.0,1.0,87.0,Fraccionamiento Campestre Los Robles,Zapopan,House,97.70114942528735,0.5,0-10k
Paseo Valle Real 900,23360,2.0,1.0,87.0,Arcos Vallarta,Guadalajara,Department,268.5057471264368,0.5,20k-30k
Av. Guadalupe 6877 47,11400,2.0,1.0,88.0,Plaza Guadalupe,Zapopan,House,129.54545454545453,0.5,10k-20k
TURMALINA,10500,3.0,1.0,89.0,La Venta del Astillero,Zapopan,House,117.97752808988764,0.3333333333333333,10k-20k
Paseo de la luna 630,18600,2.0,2.0,89.0,Punto Sur,Tlajomulco de Zúñiga,Department,208.98876404494382,1.0,10k-20k
Av. Hidalgo 157,22000,2.0,2.0,89.0,Americana,Guadalajara,Department,247.19101123595505,1.0,20k-30k
JUAN FRANCISCO LUCAS 1067 P.A,10000,3.0,2.0,89.0,Tlajomulco de Zúñiga,Other,House,112.35955056179775,0.6666666666666666,0-10k
Av. Adamar 1479 38,9400,2.0,1.0,89.0,Adamar,Tlajomulco de Zúñiga,House,105.61797752808988,0.5,0-10k
,14000,2.0,1.0,89.0,San Juan de Ocotan,Zapopan,Department,157.30337078651687,0.5,10k-20k
Zapopan,19700,2.0,1.0,89.0,Jocotán,Zapopan,Department,221.34831460674158,0.5,10k-20k
,9000,2.0,1.0,89.0,Loma Dorada Delegación a,Tonalá,House,101.12359550561797,0.5,0-10k
Av. Aviacion,16500,2.0,2.0,89.0,Paseos del Sol,Zapopan,Department,185.3932584269663,1.0,10k-20k
Rinconada de las magnolias 79,9000,2.0,2.0,89.0,Loma Dorada Delegación a,Tonalá,House,101.12359550561797,1.0,0-10k
